Districts,LG, Sub Couties , Male_2015, Female_2015, Total_2015, Male_2016, Female_2016, Total_2016, Male_2017, Female_2017, Total_2017, Male_2018, Female_2018, Total_2018, Male_2019, Female_2019, Total_2019, Male_2020, Female_2020, Total_2020, Male_2021, Female_2021, Total_2021, Male_2022, Female_2022, Total_2022, Male_2023, Female_2023, Total_2023, Male_2024, Female_2024, Total_2024, Male_2025, Female_2025, Total_2025, Male_2026, Female_2026, Total_2026, Male_2027, Female_2027, Total_2027, Male_2028, Female_2028, Total_2028, Male_2029, Female_2029, Total_2029, Male_2030, Female_2030, Total_2030
Buhweju,Buhweju,,"60,600","63,100","123,700","62,600","65,000","127,600","64,600","67,000","131,600","66,700","69,000","135,700","68,800","71,100","139,900","71,000","73,100","144,100","73,100","75,200","148,300","75,300","77,300","152,600","77,500","79,400","156,900","79,600","81,500","161,100","81,800","83,600","165,400","84,000","85,700","169,700","86,100","87,700","173,800","88,200","89,700","177,900","90,300","91,700","182,000","92,200","93,500","185,700"
,Buhweju, Bihanga ,"4,100","4,200","8,300","4,200","4,400","8,600","4,400","4,500","8,900","4,500","4,600","9,100","4,700","4,800","9,500","4,800","4,900","9,700","5,000","5,100","10,100","5,100","5,200","10,300","5,200","5,300","10,500","5,400","5,500","10,900","5,500","5,600","11,100","5,700","5,800","11,500","5,800","5,900","11,700","6,000","6,000","12,000","6,100","6,200","12,300","6,200","6,300","12,500"
,Buhweju, Nyakishana ,"9,300","9,100","18,400","9,600","9,400","19,000","9,900","9,700","19,600","10,200","10,000","20,200","10,500","10,300","20,800","10,800","10,600","21,400","11,200","10,900","22,100","11,500","11,200","22,700","11,800","11,500","23,300","12,200","11,800","24,000","12,500","12,100","24,600","12,800","12,400","25,200","13,100","12,700","25,800","13,500","13,000","26,500","13,800","13,300","27,100","14,100","13,500","27,600"
,Buhweju, Engaju ,"5,800","6,000","11,800","6,000","6,100","12,100","6,200","6,300","12,500","6,400","6,500","12,900","6,600","6,700","13,300","6,800","6,900","13,700","7,000","7,100","14,100","7,200","7,300","14,500","7,400","7,500","14,900","7,600","7,700","15,300","7,800","7,900","15,700","8,000","8,100","16,100","8,200","8,300","16,500","8,400","8,500","16,900","8,600","8,700","17,300","8,800","8,800","17,600"
,Buhweju, Burere ,"5,000","5,000","10,000","5,200","5,100","10,300","5,300","5,300","10,600","5,500","5,400","10,900","5,700","5,600","11,300","5,800","5,800","11,600","6,000","5,900","11,900","6,200","6,100","12,300","6,400","6,300","12,700","6,600","6,400","13,000","6,700","6,600","13,300","6,900","6,800","13,700","7,100","6,900","14,000","7,300","7,100","14,400","7,400","7,200","14,600","7,600","7,400","15,000"
,Buhweju, Rwengwe ,"7,200","7,500","14,700","7,400","7,700","15,100","7,600","8,000","15,600","7,900","8,200","16,100","8,100","8,500","16,600","8,400","8,700","17,100","8,600","9,000","17,600","8,900","9,200","18,100","9,200","9,400","18,600","9,400","9,700","19,100","9,700","9,900","19,600","9,900","10,200","20,100","10,200","10,400","20,600","10,400","10,700","21,100","10,700","10,900","21,600","10,900","11,100","22,000"
,Buhweju, Karungu ,"7,400","8,200","15,600","7,700","8,700","16,400","8,100","8,800","16,900","8,300","9,300","17,600","8,600","9,300","17,900","8,900","9,500","18,400","9,000","9,700","18,700","9,400","10,100","19,500","9,800","10,500","20,300","9,900","10,700","20,600","10,200","11,000","21,200","10,600","11,000","21,600","10,800","11,500","22,300","11,000","11,600","22,600","11,400","12,000","23,400","11,500","12,300","23,800"
,Buhweju, NsiikaTown Council ,"1,400","1,600","3,000","1,500","1,600","3,100","1,500","1,600","3,100","1,600","1,700","3,300","1,600","1,700","3,300","1,700","1,800","3,500","1,700","1,800","3,500","1,800","1,900","3,700","1,900","2,000","3,900","1,900","2,000","3,900","2,000","2,100","4,100","2,000","2,100","4,100","2,100","2,200","4,300","2,100","2,200","4,300","2,200","2,300","4,500","2,200","2,300","4,500"
,Buhweju, Bitsya ,"3,400","3,400","6,800","3,500","3,500","7,000","3,600","3,600","7,200","3,700","3,700","7,400","3,800","3,900","7,700","4,000","4,000","8,000","4,100","4,100","8,200","4,200","4,200","8,400","4,300","4,300","8,600","4,400","4,400","8,800","4,600","4,500","9,100","4,700","4,700","9,400","4,800","4,800","9,600","4,900","4,900","9,800","5,000","5,000","10,000","5,100","5,100","10,200"
,Buhweju, KashenyiKajaniTown Council ,"1,300","1,400","2,700","1,300","1,400","2,700","1,400","1,500","2,900","1,400","1,500","2,900","1,500","1,600","3,100","1,500","1,600","3,100","1,600","1,700","3,300","1,600","1,700","3,300","1,600","1,700","3,300","1,700","1,800","3,500","1,700","1,800","3,500","1,800","1,900","3,700","1,800","1,900","3,700","1,900","2,000","3,900","1,900","2,000","3,900","2,000","2,100","4,100"
,Buhweju, Nyakashaka Town Council ,"1,400","1,300","2,700","1,400","1,300","2,700","1,500","1,400","2,900","1,500","1,400","2,900","1,600","1,500","3,100","1,600","1,500","3,100","1,700","1,600","3,300","1,700","1,600","3,300","1,700","1,600","3,300","1,800","1,700","3,500","1,800","1,700","3,500","1,900","1,800","3,700","1,900","1,800","3,700","2,000","1,900","3,900","2,000","1,900","3,900","2,100","1,900","4,000"
,Buhweju, Nyakaziba Town Council ,"2,600","2,700","5,300","2,700","2,800","5,500","2,700","2,900","5,600","2,800","2,900","5,700","2,900","3,000","5,900","3,000","3,100","6,100","3,100","3,200","6,300","3,200","3,300","6,500","3,300","3,400","6,700","3,400","3,500","6,900","3,500","3,600","7,100","3,600","3,700","7,300","3,700","3,700","7,400","3,700","3,800","7,500","3,800","3,900","7,700","3,900","4,000","7,900"
,Buhweju, Buhunga ,"4,500","5,000","9,500","4,700","5,100","9,800","4,800","5,300","10,100","5,000","5,400","10,400","5,100","5,600","10,700","5,300","5,800","11,100","5,400","5,900","11,300","5,600","6,100","11,700","5,800","6,300","12,100","5,900","6,400","12,300","6,100","6,600","12,700","6,200","6,800","13,000","6,400","6,900","13,300","6,600","7,100","13,700","6,700","7,200","13,900","6,900","7,400","14,300"
,Buhweju, Kyahenda ,"3,700","4,000","7,700","3,800","4,100","7,900","3,900","4,200","8,100","4,100","4,400","8,500","4,200","4,500","8,700","4,300","4,600","8,900","4,500","4,800","9,300","4,600","4,900","9,500","4,700","5,000","9,700","4,900","5,200","10,100","5,000","5,300","10,300","5,100","5,400","10,500","5,300","5,600","10,900","5,400","5,700","11,100","5,500","5,800","11,300","5,600","5,900","11,500"
,Buhweju, Rubengye ,"3,500","3,700","7,200","3,600","3,800","7,400","3,700","3,900","7,600","3,800","4,000","7,800","3,900","4,100","8,000","4,100","4,300","8,400","4,200","4,400","8,600","4,300","4,500","8,800","4,400","4,600","9,000","4,500","4,700","9,200","4,700","4,900","9,600","4,800","5,000","9,800","4,900","5,100","10,000","5,000","5,200","10,200","5,200","5,300","10,500","5,300","5,400","10,700"
Buliisa ,Buliisa ,,"60,300","57,300","117,600","63,600","59,900","123,500","67,100","62,500","129,600","70,700","65,300","136,000","74,400","68,100","142,500","78,300","71,000","149,300","82,400","74,000","156,400","86,600","77,100","163,700","91,000","80,300","171,300","95,500","83,500","179,000","100,100","86,800","186,900","104,900","90,200","195,100","109,800","93,600","203,400","114,900","97,000","211,900","120,000","100,500","220,500","125,100","103,900","229,000"
,Buliisa , Biiso ,"4,700","4,500","9,200","5,000","4,700","9,700","5,300","4,900","10,200","5,600","5,200","10,800","5,800","5,400","11,200","6,100","5,600","11,700","6,500","5,900","12,400","6,800","6,100","12,900","7,100","6,400","13,500","7,500","6,600","14,100","7,900","6,900","14,800","8,200","7,100","15,300","8,600","7,400","16,000","9,000","7,700","16,700","9,400","8,000","17,400","9,800","8,200","18,000"
,Buliisa , Biiso Town Council ,"3,700","4,100","7,800","3,900","4,300","8,200","4,100","4,500","8,600","4,300","4,700","9,000","4,600","4,900","9,500","4,800","5,100","9,900","5,000","5,300","10,300","5,300","5,500","10,800","5,600","5,700","11,300","5,800","6,000","11,800","6,100","6,200","12,300","6,400","6,400","12,800","6,700","6,700","13,400","7,000","6,900","13,900","7,300","7,200","14,500","7,700","7,400","15,100"
,Buliisa , Buliisa ,"8,800","9,000","17,800","9,300","9,400","18,700","9,800","9,800","19,600","10,400","10,200","20,600","10,900","10,700","21,600","11,500","11,100","22,600","12,100","11,600","23,700","12,700","12,100","24,800","13,300","12,600","25,900","14,000","13,100","27,100","14,700","13,600","28,300","15,400","14,200","29,600","16,100","14,700","30,800","16,900","15,200","32,100","17,600","15,800","33,400","18,300","16,300","34,600"
,Buliisa , BuliisaTown Council ,"3,800","3,600","7,400","4,000","3,800","7,800","4,300","4,000","8,300","4,500","4,200","8,700","4,700","4,300","9,000","5,000","4,500","9,500","5,200","4,700","9,900","5,500","4,900","10,400","5,800","5,100","10,900","6,100","5,300","11,400","6,400","5,500","11,900","6,700","5,700","12,400","7,000","5,900","12,900","7,300","6,200","13,500","7,600","6,400","14,000","7,900","6,600","14,500"
,Buliisa , Butiaba ,"8,100","7,800","15,900","8,600","8,200","16,800","9,100","8,500","17,600","9,600","8,900","18,500","10,100","9,300","19,400","10,600","9,700","20,300","11,100","10,100","21,200","11,700","10,500","22,200","12,300","10,900","23,200","12,900","11,400","24,300","13,500","11,800","25,300","14,200","12,300","26,500","14,800","12,700","27,500","15,500","13,200","28,700","16,200","13,700","29,900","16,900","14,100","31,000"
,Buliisa , Butiaba Town Council ,"8,900","5,200","14,100","9,400","5,400","14,800","9,900","5,700","15,600","10,400","5,900","16,300","11,000","6,200","17,200","11,600","6,400","18,000","12,200","6,700","18,900","12,800","7,000","19,800","13,500","7,300","20,800","14,100","7,600","21,700","14,800","7,900","22,700","15,500","8,200","23,700","16,200","8,500","24,700","17,000","8,800","25,800","17,700","9,100","26,800","18,500","9,400","27,900"
,Buliisa , Kigwera ,"2,500","2,100","4,600","2,600","2,200","4,800","2,800","2,300","5,100","2,900","2,400","5,300","3,100","2,500","5,600","3,300","2,600","5,900","3,400","2,700","6,100","3,600","2,800","6,400","3,800","2,900","6,700","4,000","3,000","7,000","4,200","3,200","7,400","4,400","3,300","7,700","4,600","3,400","8,000","4,800","3,500","8,300","5,000","3,600","8,600","5,200","3,800","9,000"
,Buliisa , Wanseko Town Council ,"4,700","4,900","9,600","4,900","5,100","10,000","5,200","5,400","10,600","5,500","5,600","11,100","5,800","5,800","11,600","6,100","6,100","12,200","6,400","6,300","12,700","6,700","6,600","13,300","7,000","6,900","13,900","7,400","7,100","14,500","7,700","7,400","15,100","8,100","7,700","15,800","8,500","8,000","16,500","8,900","8,300","17,200","9,300","8,600","17,900","9,700","8,900","18,600"
,Buliisa , Kihungya ,"6,200","6,700","12,900","6,500","7,000","13,500","6,900","7,300","14,200","7,300","7,600","14,900","7,600","7,900","15,500","8,000","8,300","16,300","8,500","8,600","17,100","8,900","9,000","17,900","9,400","9,400","18,800","9,800","9,700","19,500","10,300","10,100","20,400","10,800","10,500","21,300","11,300","10,900","22,200","11,800","11,300","23,100","12,300","11,700","24,000","12,900","12,100","25,000"
,Buliisa , Ngwedo ,"8,900","9,400","18,300","9,400","9,800","19,200","9,700","10,100","19,800","10,200","10,600","20,800","10,800","11,100","21,900","11,300","11,600","22,900","12,000","12,100","24,100","12,600","12,600","25,200","13,200","13,100","26,300","13,900","13,700","27,600","14,500","14,200","28,700","15,200","14,800","30,000","16,000","15,400","31,400","16,700","15,900","32,600","17,600","16,400","34,000","18,200","17,100","35,300"
 Bundibugyo ,Bundibugyo,,"111,100","118,300","229,400","114,500","121,600","236,100","118,100","124,900","243,000","121,700","128,200","249,900","125,300","131,500","256,800","128,900","134,900","263,800","132,600","138,200","270,800","136,300","141,600","277,900","140,000","145,000","285,000","143,700","148,300","292,000","147,300","151,600","298,900","150,900","154,800","305,700","154,500","158,000","312,500","158,000","161,100","319,100","161,400","164,100","325,500","164,600","166,800","331,400"
,Bundibugyo, BUKONZO ,"3,400","3,400","6,800","3,500","3,500","7,000","3,600","3,600","7,200","3,800","3,700","7,500","3,900","3,800","7,700","4,000","3,900","7,900","4,100","4,000","8,100","4,200","4,100","8,300","4,300","4,200","8,500","4,400","4,300","8,700","4,500","4,400","8,900","4,600","4,500","9,100","4,800","4,600","9,400","4,900","4,700","9,600","5,000","4,800","9,800","5,100","4,800","9,900"
,Bundibugyo,Mbatya,"2,000","2,200","4,200","2,000","2,200","4,200","2,100","2,300","4,400","2,100","2,400","4,500","2,200","2,400","4,600","2,300","2,500","4,800","2,300","2,500","4,800","2,400","2,600","5,000","2,500","2,700","5,200","2,500","2,700","5,200","2,600","2,800","5,400","2,700","2,800","5,500","2,700","2,900","5,600","2,800","3,000","5,800","2,800","3,000","5,800","2,900","3,100","6,000"
,Bundibugyo, HARUGALE ,"4,100","4,100","8,200","4,200","4,200","8,400","4,300","4,300","8,600","4,500","4,400","8,900","4,600","4,600","9,200","4,700","4,700","9,400","4,900","4,800","9,700","5,000","4,900","9,900","5,100","5,000","10,100","5,300","5,100","10,400","5,400","5,200","10,600","5,500","5,400","10,900","5,700","5,500","11,200","5,800","5,600","11,400","5,900","5,700","11,600","6,000","5,800","11,800"
,Bundibugyo,Ngite,"2,300","2,400","4,700","2,400","2,500","4,900","2,400","2,600","5,000","2,500","2,600","5,100","2,600","2,700","5,300","2,600","2,800","5,400","2,700","2,800","5,500","2,800","2,900","5,700","2,900","3,000","5,900","3,000","3,000","6,000","3,000","3,100","6,100","3,100","3,200","6,300","3,200","3,200","6,400","3,200","3,300","6,500","3,300","3,400","6,700","3,400","3,400","6,800"
,Bundibugyo, NDUGUTO ,"2,900","3,000","5,900","3,000","3,100","6,100","3,100","3,200","6,300","3,200","3,300","6,500","3,300","3,300","6,600","3,400","3,400","6,800","3,500","3,500","7,000","3,600","3,600","7,200","3,700","3,700","7,400","3,800","3,800","7,600","3,900","3,900","7,800","4,000","3,900","7,900","4,100","4,000","8,100","4,200","4,100","8,300","4,300","4,200","8,500","4,300","4,200","8,500"
,Bundibugyo, NGAMBA ,"5,300","5,400","10,700","5,500","5,600","11,100","5,600","5,700","11,300","5,800","5,900","11,700","6,000","6,000","12,000","6,100","6,200","12,300","6,300","6,300","12,600","6,500","6,500","13,000","6,700","6,700","13,400","6,900","6,800","13,700","7,000","7,000","14,000","7,200","7,100","14,300","7,400","7,300","14,700","7,500","7,400","14,900","7,700","7,500","15,200","7,800","7,700","15,500"
